month,avg_air_temp
Jan-22,29.688064516129028
Feb-22,31.59178571428572
Mar-22,35.30645161290323
Apr-22,36.756
May-22,37.48806451612903
Jun-22,36.95666666666668
Jul-22,31.74516129032258
Aug-22,32.9183870967742
Sep-22,32.33733333333333
Oct-22,31.279677419354833
Nov-22,30.80666666666667
Dec-22,30.77129032258064
Jan-21,30.82225806451613
Feb-21,31.782857142857146
Mar-21,35.186774193548395
Apr-21,36.385999999999996
May-21,37.294516129032246
Jun-21,35.564
Jul-21,32.62129032258064
Aug-21,33.17161290322581
Sep-21,32.165
Oct-21,33.03774193548387
Nov-21,29.979333333333333
Dec-21,30.219032258064516
Jan-20,30.61032258064516
Feb-20,31.80857142857143
Mar-20,34.048387096774185
Apr-20,36.49900000000001
May-20,39.19225806451614
Jun-20,36.377
Jul-20,33.21032258064516
Aug-20,31.54290322580645
Sep-20,32.31933333333333
Oct-20,31.615483870967743
Nov-20,30.967333333333332
Dec-20,30.283870967741937
Jan-19,29.95806451612903
Feb-19,32.57071428571429
Mar-19,35.59548387096773
Apr-19,37.90533333333334
May-19,40.78387096774193
Jun-19,38.913666666666664
Jul-19,34.50354838709678
Aug-19,33.08387096774193
Sep-19,32.02633333333333
Oct-19,31.63387096774194
Nov-19,31.95466666666667
Dec-19,29.86354838709677
Jan-18,31.162903225806453
Feb-18,32.79392857142857
Mar-18,35.33870967741935
Apr-18,36.955666666666666
May-18,38.68354838709677
Jun-18,37.01333333333334
Jul-18,33.32677419354838
Aug-18,32.546451612903226
Sep-18,34.013333333333335
Oct-18,34.17677419354838
Nov-18,32.803000000000004
Dec-18,29.62290322580645
Jan-17,30.97322580645162
Feb-17,33.44107142857143
Mar-17,35.48903225806452
Apr-17,38.617000000000004
May-17,40.026774193548384
Jun-17,35.80899999999999
Jul-17,34.08548387096774
Aug-17,32.82935483870967
Sep-17,33.34733333333333
Oct-17,33.08032258064515
Nov-17,32.336999999999996
Dec-17,31.25645161290323
Jan-16,31.689354838709672
Feb-16,34.2375
Mar-16,36.06193548387097
Apr-16,39.09533333333333
May-16,39.0716129032258
Jun-16,35.65266666666667
Jul-16,33.90322580645162
Aug-16,34.22193548387097
Sep-16,31.683
Oct-16,33.545806451612904
Nov-16,32.80066666666667
Dec-16,31.128709677419355
Jan-15,30.313548387096777
Feb-15,32.53035714285714
Mar-15,34.43322580645161
Apr-15,35.95133333333333
May-15,40.178387096774195
Jun-15,35.303999999999995
Jul-15,36.92032258064516
Aug-15,34.39064516129033
Sep-15,33.846333333333334
Oct-15,34.55483870967742
Nov-15,31.753
Dec-15,32.04129032258064
