month,avg_water_temp
Jan-15,22.25228797491665
Feb-15,23.937590379513427
Mar-15,25.436229543094736
Apr-15,26.09221750437766
May-15,27.484191958807276
Jun-15,24.870906584590756
Jul-15,24.796241288184568
Aug-15,24.24691803605334
Sep-15,24.42291480615364
Oct-15,24.833573936387662
Nov-15,23.37760065646703
Dec-15,23.025607116266436
Jan-16,23.073606235384702
Feb-16,24.790908052726984
Mar-16,25.974886324310795
Apr-16,27.425526368773845
May-16,27.313528424164566
Jun-16,25.39356365943406
Jul-16,24.033588617749952
Aug-16,24.252251271510925
Sep-16,23.932257144055843
Oct-16,24.449580983441564
Nov-16,23.55893066202491
Dec-16,22.854943581623726
Jan-17,22.806944462505463
Feb-17,24.406915099780882
Mar-17,25.612226313195034
Apr-17,26.96153488396397
May-17,27.601523138874143
Jun-17,25.153568063842744
Jul-17,23.921590673140674
Aug-17,24.193585681477494
Sep-17,24.758908639981478
Oct-17,24.417581570696054
Nov-17,23.329601537348765
Dec-17,22.673613576065847
Jan-18,22.721612695184106
Feb-18,24.5402459862205
Mar-18,25.996219266141132
Apr-18,26.529542811899606
May-18,26.65754046288164
Jun-18,25.77755661238016
Jul-18,23.676261842091776
Aug-18,23.665595371176604
Sep-18,24.449580983441564
Oct-18,24.609578047169105
Nov-18,24.11892038507131
Dec-18,22.033625321155675
Jan-19,22.369619154983514
Feb-19,24.092254207783384
Mar-19,25.558893958619187
Apr-19,26.886869587557786
May-19,27.334861365994904
Jun-19,26.150883094411093
Jul-19,24.166919504189572
Aug-19,23.82559243490415
Sep-19,23.68159507754936
Oct-19,24.006922440462027
Nov-19,23.697594783922113
Dec-19,22.540282689626224
Jan-20,22.55628239599898
Feb-20,23.180270944536396
Mar-20,25.180234241130673
Apr-20,26.209548684444524
May-20,26.705539581999904
Jun-20,25.057569825606222
Jul-20,24.284250684256435
Aug-20,23.468265659245972
Sep-20,24.449580983441564
Oct-20,23.97492302771652
Nov-20,23.34560124372152
Dec-20,22.732279166099275
Jan-21,23.212270357281902
Feb-21,23.958923321343764
Mar-21,26.022885443429058
Apr-21,26.609541343763382
May-21,26.593541637390626
Jun-21,24.993571000115207
Jul-21,23.948256850428596
Aug-21,24.24691803605334
Sep-21,23.88425802493758
Oct-21,24.417581570696054
Nov-21,22.95627505531784
Dec-21,21.990959437495
Jan-22,21.95896002474949
Feb-22,23.468265659245972
Mar-22,25.857555144243932
Apr-22,26.73220575928783
May-22,26.662873698339226
Jun-22,25.63889249048296
Jul-22,23.69226154846453
Aug-22,23.85225861219207
Sep-22,24.150919797816815
Oct-22,23.889591260395164
Nov-22,23.29760212460326
Dec-22,22.945608584402667
