date,avg_water_temp,Ox_stat
01/01/2015,25.956902033960944,8.12006605380315
02/01/2015,26.105919959844638,8.09811565240768
03/01/2015,25.981132945350137,8.116489752214346
04/01/2015,26.05499060751467,8.105605887603
05/01/2015,26.094436935537978,8.099803416875508
06/01/2015,26.001022663040462,8.113556236558155
07/01/2015,26.09569738084952,8.099618127741657
08/01/2015,26.00651129285063,8.112747050138285
09/01/2015,25.93919905578241,8.12268062419567
10/01/2015,25.925836596758124,8.124655114625291
11/01/2015,25.86517200760973,8.133629728923005
12/01/2015,25.877510399406454,8.131803003392871
13/01/2015,25.8911783476392,8.129780272366675
14/01/2015,25.93613595155438,8.123133166564005
15/01/2015,25.898273231192235,8.128730641819732
16/01/2015,26.06503007099336,8.104128414904777
17/01/2015,25.98830624317185,8.115431555480162
18/01/2015,25.95030666370804,8.121039958471767
19/01/2015,25.911092565259096,8.126834726477611
20/01/2015,25.880268973746023,8.13139468873437
21/01/2015,25.866519277770813,8.13343022773387
22/01/2015,25.94074967991885,8.122451552130801
23/01/2015,25.96365790786645,8.11906866018626
24/01/2015,26.00285060188348,8.113286728617089
25/01/2015,26.01017587892537,8.11220686028997
26/01/2015,25.984709064306514,8.11596217705304
27/01/2015,25.984709064306514,8.11596217705304
28/01/2015,25.945475259457343,8.121753516962075
29/01/2015,26.03567109236379,8.108450398192499
30/01/2015,26.02663077182212,8.109782050018891
31/01/2015,25.974054341336974,8.117534216414807
01/02/2015,26.074588774163264,8.102722131387255
02/02/2015,26.01750435781109,8.111126771414959
03/02/2015,25.970556911294,8.11805035698336
04/02/2015,26.11999269041108,8.096048093042755
05/02/2015,26.11459966258105,8.096840325307822
06/02/2015,26.12091162006352,8.0959131163801
07/02/2015,26.11529470984732,8.096738215716485
08/02/2015,26.121142489137,8.095879205876173
09/02/2015,26.09184721307514,8.100184136867213
10/02/2015,26.09693422291678,8.099436315553241
11/02/2015,26.080642991098166,8.10183165107507
12/02/2015,26.0316509360387,8.109042525623542
13/02/2015,25.74166366789415,8.151955075792223
14/02/2015,25.38662470120576,8.205038650901027
15/02/2015,24.860406642443603,8.284842125541035
16/02/2015,25.175891063813285,8.236834338533074
17/02/2015,25.067142774456343,8.253327286824774
18/02/2015,24.860406642443603,8.284842125541035
19/02/2015,25.518097433718157,8.185310991671422
20/02/2015,25.72279738499114,8.154760698025129
21/02/2015,25.16187037135416,8.238957481596461
22/02/2015,24.878842254399487,8.282023193675979
23/02/2015,24.815573379739245,8.291704505605143
24/02/2015,24.8015226677094,8.293857234338642
25/02/2015,24.80839275904473,8.292804535117318
26/02/2015,24.96279227881138,8.269208012331255
27/02/2015,24.96853579439997,8.268332527732968
28/02/2015,25.9272528134974,8.124445808988257
01/03/2015,25.899355293502623,8.128570580309841
02/03/2015,26.099335119648053,8.099083411067697
03/03/2015,25.86289692144364,8.133966638780038
04/03/2015,25.602966369051536,8.172620468171266
05/03/2015,24.838932195980547,8.2881278501156
06/03/2015,24.95710319277024,8.27007536128492
07/03/2015,25.56092559339429,8.178902542389865
08/03/2015,25.38662470120576,8.205038650901027
09/03/2015,26.02531812654024,8.109975436289291
10/03/2015,25.060644492703467,8.254314667966597
11/03/2015,25.022538355578668,8.26010889263372
12/03/2015,24.95710319277024,8.27007536128492
13/03/2015,24.755084601621952,8.300979093679349
14/03/2015,24.756238943326338,8.300801930140434
15/03/2015,24.740391615398217,8.303234694936378
16/03/2015,24.735112536481804,8.304045379580783
17/03/2015,24.755084601621952,8.300979093679349
18/03/2015,25.58970663776259,8.174600930794615
19/03/2015,24.880081372702257,8.281833784624716
20/03/2015,25.051953429778784,8.255635556351532
21/03/2015,25.260386948165863,8.224059543460362
22/03/2015,26.18759004430837,8.086129558728334
23/03/2015,26.090318139709115,8.100408943514266
24/03/2015,26.02643377037815,8.109811072863764
25/03/2015,25.52339517684933,8.184517803945736
26/03/2015,24.818619874677395,8.291237877988616
27/03/2015,25.072632225423007,8.252493354482965
28/03/2015,25.26835225768485,8.222857078691629
29/03/2015,25.423558984494356,8.199488184824911
30/03/2015,24.865619003108662,8.284044948208141
31/03/2015,24.735940605238824,8.303918207511199
01/04/2015,25.49842950868184,8.188256889801961
02/04/2015,26.19591134314707,8.08491004452858
03/04/2015,26.32655181923273,8.06580624287993
04/04/2015,26.28759171103423,8.071495204051976
05/04/2015,26.325318745466543,8.065986189324624
06/04/2015,26.230113774364643,8.079900934151818
07/04/2015,26.25302864533756,8.076547970724251
08/04/2015,25.82026317999982,8.140284647946261
09/04/2015,25.78985964672328,8.1447954810216
10/04/2015,26.062150117494376,8.104552199430719
11/04/2015,24.734773342664813,8.304097472842265
12/04/2015,26.118590146008916,8.096254112870135
13/04/2015,25.76017070138119,8.149204520835672
14/04/2015,26.12091162006352,8.0959131163801
15/04/2015,26.084994445844355,8.101191725992502
16/04/2015,25.690597423692694,8.159553094535289
17/04/2015,24.96279227881138,8.269208012331255
18/04/2015,25.82777380310289,8.139171005017085
19/04/2015,25.77445209810172,8.14708310034595
20/04/2015,26.19997408105377,8.084314753344723
21/04/2015,26.32560949932653,8.065943758041898
22/04/2015,26.284209924989245,8.071989343134494
23/04/2015,26.26200049391104,8.075235847951351
24/04/2015,24.73479791289206,8.3040936993363
25/04/2015,25.515076385788703,8.185763368867581
26/04/2015,25.06568733528736,8.253548415391792
27/04/2015,25.663365220793388,8.163609982386843
28/04/2015,26.313762593686405,8.067672956311883
29/04/2015,26.302600041463933,8.069302856709328
30/04/2015,26.106034749832947,8.098098783780724
01/05/2015,26.063022869595244,8.104423770060825
