month,avg_water_temp
Jan-15,21.899063463346405
Feb-15,23.801336098205418
Mar-15,25.492913979203465
Apr-15,26.233355542772006
May-15,27.804536421563785
Jun-15,24.854809867510248
Jul-15,24.770531965965862
Aug-15,24.15048740460359
Sep-15,24.349142458243932
Oct-15,24.812670916738057
Nov-15,23.169251836622518
Dec-15,22.771941729341837
Jan-16,22.826120380334658
Feb-16,24.76451211585555
Mar-16,26.10091884034511
Apr-16,27.73831807035034
May-16,27.61190121803376
Jun-16,25.444755178320957
Jul-16,23.909693400191056
Aug-16,24.156507254713905
Sep-16,23.7953162480951
Oct-16,24.379241708795497
Nov-16,23.37392674037317
Dec-16,22.57930652581181
Jan-17,22.52512787481899
Feb-17,24.33108290791299
Mar-17,25.691569032843802
Apr-17,27.214591110753076
May-17,27.93697312399068
Jun-17,25.173861923356856
Jul-17,23.783276547874475
Aug-17,24.090288903500458
Sep-17,24.72839301519367
Oct-17,24.343122608133616
Nov-17,23.115073185629697
Dec-17,22.374631622061155
Jan-18,22.428810273053976
Feb-18,24.481579160670822
Mar-18,26.12499824078636
Apr-18,26.726983251817696
May-18,26.871459654465216
Jun-18,25.878184386263516
Jul-18,23.506363442800062
Aug-18,23.494323742579436
Sep-18,24.379241708795497
Oct-18,24.5598372121049
Nov-18,24.00601100195607
Dec-18,21.652249608823556
Jan-19,22.031500165773295
Feb-19,23.975911751404503
Mar-19,25.63137053174067
Apr-19,27.13031320920869
May-19,27.635980618475013
Jun-19,26.299573893985453
Jul-19,24.06018965294889
Aug-19,23.674919245888837
Sep-19,23.51238329291038
Oct-19,23.87959414963949
Nov-19,23.530442843241318
Dec-19,22.224135369303323
Jan-20,22.242194919634265
Feb-20,22.94651738254092
Mar-20,25.203961173908425
Apr-20,26.3657922451989
May-20,26.92563830545804
Jun-20,25.065504621371215
Jul-20,24.192626355375783
Aug-20,23.271589288497843
Sep-20,24.379241708795497
Oct-20,23.84347504897761
Nov-20,23.133132735960636
Dec-20,22.440849973274602
Jan-21,22.982636483202803
Feb-21,23.82541549864667
Mar-21,26.15509749133793
Apr-21,26.8172810034724
May-21,26.79922145314146
Jun-21,24.99326642004746
Jul-21,23.813375798426044
Aug-21,24.15048740460359
Sep-21,23.741137597102284
Oct-21,24.343122608133616
Nov-21,22.693683677907764
Dec-21,21.60409080794105
Jan-22,21.56797170727917
Feb-22,23.271589288497843
Mar-22,25.968482137918215
Apr-22,26.955737556009606
May-22,26.87747950457553
Jun-22,25.72166828339537
Jul-22,23.524422993131004
Aug-22,23.705018496440402
Sep-22,24.04213010261795
Oct-22,23.747157447212597
Nov-22,23.07895408496782
Dec-22,22.681643977687138
